Mouse,Strain,Genotype,OFT - Total Distance moved (cm),OFT - Mean Velocity (cm/s),OFT - Frequency Border Zone,OFT - Total Time in Border Zone (sec),OFT - Latency to First Enter Border Zone (sec),OFT - Frequency Corner Zone,OFT - Total Time in Corner Zone (sec),OFT - Latency to First Enter Corner Zone (sec),OFT - Frequency Center Field,OFT - Total Time in Center Field (sec),OFT - Latency to First Enter Center Field (sec),OFT - Total Time Moving (sec),OFT - Total Time Not Moving (sec),OFT - Circling Clockwise Body Axis Rotations,OFT -Circling Counter Clockwise Body Axis Rotation,OFT - total Body Axis Rotation ,OFT - Frequency of Rearing,OFT - Total Time of Rearing (sec),OFT - Time per Rearing (sec),OFT - Latency to First Rearing (sec),OFT - Frequency Grooming,OFT - Total Time Grooming (sec),OFT - Latency to first Grooming (sec),OFT - Frequency Jumping,EPM - Total Distance Moved (cm),EPM - Mean Velocity (cm/s),EPM - Frequency of Moving,EPM - Total Time Moving (s),EPM - Frequency of Not Moving,EPM - Total Time Not Moving (s),EPM - Closed Arm Entries,EPM - Total Time in Closed Arms (s),EPM - Latency to First Enter Closed Arm (sec),EPM - Open Arm Entries,EPM - Total Time in Open Arms (s),EPM - Latency to First Enter Open Arm (s),EPM - Center Field Entries,EPM - Total Time in Center Field (s),EPM - Latency to First Enter Center Field (s),EPM - Slipping
25,Nex-Cre,NEX-Cre-hom,3277.85,10.9262,82,131.6,1.36,64,152.76,0,18,15.68,8,232.72,67.28,2,10,12,36,35.96,0.998888889,14.8,0,0,0,0,1858.34,6.19448,375,209.12,375,90.88,35,194.52,36.8,14,40.8,0,48,64.72,0.08,0
oma-1058,Nex-Cre,NEX-Cre-hom,4317.72,14.3922,110,151.502,1.70002,84,123.968,0,31,22.8836,2.40003,280.104,19.9003,16,3,19,52,36.3172,0.698407692,24.167,0,0,0,0,2029.23,6.76399,1098,216.386,1098,83.6178,25,197.369,0,13,55.2674,26.7837,37,47.384,4.20006,2
oma-1057,Nex-Cre,NEX-Cre-hom,4255.95,14.1863,116,150.502,2.7167,80,112.885,0,36,36.6338,3.13338,284.004,16.0002,4,9,13,41,23.3503,0.569519512,29.5671,0,0,0,0,1975.26,6.58412,897,202.92,898,97.0847,32,209.336,18.2336,25,39.2005,0,55,51.4841,7.71677,2
oma-0994,Nex-Cre,NEX-Cre-hom,3875.69,12.9188,96,131.335,1.95003,79,153.652,0,18,15.0335,5.0334,273.754,26.2504,16,4,20,33,17.7836,0.53889697,22.2503,0,0,0,0,2109.85,7.03272,990,229.887,990,70.1177,25,187.719,0,19,64.9676,14.6002,43,47.334,5.45008,2
oma-1080,Nex-Cre,NEX-Cre-hom,3652.59,12.1751,83,115.218,0,75,178.736,8.03345,7,6.06675,1.66669,263.154,36.8505,9,2,11,46,25.4337,0.552906522,40.2339,0,0,0,0,2611.6,8.70522,872,241.67,871,58.3341,27,147.519,7.06676,26,108.602,0,50,42.9506,6.46676,7
oma-1064,Nex-Cre,NEX-Cre-hom,3825.92,12.7529,92,137.235,1.46669,82,145.752,0,17,14.7835,29.6004,269.054,30.9504,12,4,16,58,47.4507,0.818115517,13.4002,0,0,0,0,2619.15,8.73911,876,236.787,874,62.9675,27,116.752,47.7007,24,120.585,0.100001,47,62.3342,0.466673,3
oma-1043,Nex-Cre,NEX-Cre-hom,3922.56,13.075,102,161.902,2.6667,82,113.935,0,22,24.0337,5.96675,270.704,29.3004,10,6,16,41,22.4503,0.547568293,37.8172,0,0,0,0,2280.18,7.60049,960,226.103,959,73.901,30,133.335,0,20,107.418,5.33341,50,59.2675,5.21674,0
oma-0150,NEX-Cre,NEX-Cre-WT,2798.92,9.32961,73,135.919,4.85007,55,148.019,0,15,11.6002,23.7503,211.586,88.4179,3,5,8,20,18.9003,0.945015,52.7674,1,3.01671,209.536,0,1445.09,4.81691,1077,202.703,1076,97.3013,21,191.419,0.283337,27,51.0007,16.4002,48,57.6008,0,0
oma-0153,NEX-Cre,NEX-Cre-WT,2657.14,8.85701,63,132.402,5.98342,58,139.002,0,12,13.1002,59.1508,241.403,58.6008,1,5,6,27,37.3505,1.383351852,71.201,0,0,0,0,1617.2,5.39058,919,204.636,918,95.3513,24,155.752,2.58337,17,64.1176,0,40,80.1511,0.383338,0
oma-0160,NEX-Cre,NEX-Cre-WT,2453.64,8.17869,59,117.302,0,49,138.085,1.16668,16,35.4505,4.10006,233.587,66.4176,6,1,7,21,24.2003,1.152395238,22.6837,1,4.46673,99.3347,0,1751.18,5.83717,913,207.403,913,92.6013,29,143.719,11.7335,26,82.1845,0,54,74.1177,0.233336,2
oma-0679,NEX-Cre,NEX-Cre-WT,1950.5,6.50158,44,130.685,3.38338,32,120.302,0,12,44.5506,5.50008,212.636,87.3679,5,5,10,25,20.3336,0.813344,70.3177,1,9.83347,256.687,0,1574.58,5.24851,1013,194.719,1014,105.285,26,192.469,3.33338,13,47.7507,11.3168,39,59.8008,0,0
oma-0178,NEX-Cre,NEX-Cre-WT,2932,9.7732,71,124.018,1.86669,59,133.885,0,18,34.3838,15.9836,249.403,50.6007,2,5,7,47,39.2339,0.83476383,29.7504,1,6.55009,102.518,0,1570.75,5.23576,932,211.67,931,88.3346,22,116.318,0.05,16,112.918,21.167,38,70.7843,0,1
oma-0188,NEX-Cre,NEX-Cre-WT,2256.25,7.52072,64,125.885,3.78339,46,140.035,0,20,30.2838,14.4335,246.087,53.9174,1,8,9,19,20.5836,1.083347368,68.451,0,0,0,0,1477.04,4.9234,1012,199.703,1011,100.301,36,155.052,4.41673,17,40.2339,13.4669,53,104.735,0,2
oma-0683,NEX-Cre,NEX-Cre-WT,2844.63,9.48197,67,109.102,3.53338,66,168.902,0,9,8.51679,22.2336,252.487,47.5173,5,3,8,30,43.4506,1.448353333,73.8677,1,4.10006,142.252,0,1666.35,5.55442,1022,210.02,1022,89.9846,19,166.652,4.5834,11,72.6677,2.80004,30,60.7009,0,2
oma-0179,NEX-Cre,NEX-Cre-WT,2691.9,8.97286,68,103.601,0.066667,57,169.336,0,18,16.8502,0.416672,226.403,73.601,7,6,13,49,49.184,1.003755102,29.2337,1,10.5001,155.152,0,1825.29,6.08423,977,222.203,978,77.8011,28,149.802,3.78339,17,98.7514,0,43,50.0174,1.76669,3
oma-0226,NEX-Cre,NEX-Cre-WT,3423.17,11.4104,96,143.102,0,80,127.802,2.5667,22,21.5336,20.0169,263.22,36.7839,11,5,16,27,24.967,0.924703704,58.4008,1,4.10006,282.271,0,1609.47,5.44438,1060,215.82,1055,80.0011,17,121.518,27.8837,26,103.151,0,41,69.6676,1.20002,1
oma-0228,NEX-Cre,NEX-Cre-WT,3255.9,10.8528,88,113.535,2.06669,74,149.035,0,20,20.5503,18.4669,260.32,39.6839,7,4,11,43,41.7506,0.970944186,47.084,1,4.56673,90.9513,0,1478.48,4.92819,1005,199.236,1005,100.768,28,187.703,13.1002,11,57.8841,0.250003,40,54.4341,0,1
